country,year,eur_million
EE,2009,3486.5798804844444
EL,2009,30461.09892512653
ES,2009,76258.8657388988
FI,2009,8853.31652506144
FR,2009,102737.90490193098
HR,2009,327.50575707503276
HU,2009,17486.57352477251
IE,2009,8808.223205414164
IT,2009,72695.87583664234
LT,2009,8534.746971327288
LU,2009,3884.7304731870095
LV,2009,3522.9231073145993
MT,2009,412.6920192479249
NL,2009,13297.152147956547
PL,2009,47178.62419334332
PT,2009,20320.88983288541
RO,2009,14068.789737165014
SE,2009,9922.592495294593
SI,2009,3384.3513725522203
SK,2009,6373.581358851517
AT,2010,12647.032142058928
BE,2010,24708.98761896993
BG,2010,5786.040157438194
CY,2010,1092.0668085951886
CZ,2010,18217.648121317045
DE,2010,98905.29053377526
DK,2010,11388.652354168664
EE,2010,3854.2697564845607
EL,2010,31395.89908116858
ES,2010,79726.01475647559
FI,2010,8913.3012189217
FR,2010,98993.65411215783
HR,2010,267.6803697816185
HU,2010,18272.014474671676
IE,2010,11771.002891316617
IT,2010,73012.50489613139
LT,2010,7426.339276947952
LU,2010,4081.268868371732
LV,2010,3904.4727330225223
MT,2010,567.3047605626635
NL,2010,19067.409710046715
PL,2010,60176.60552816461
PT,2010,23687.70258499272
RO,2010,11380.080217191253
SE,2010,13200.40513366787
SI,2010,4041.7584270721695
SK,2010,9292.49836752704
AT,2011,13053.19561091
BE,2011,27003.723503003574
BG,2011,5571.201675236646
CY,2011,1123.5033358800001
CZ,2011,17171.673362370002
DE,2011,98631.1557632918
DK,2011,11339.83984381776
EE,2011,2447.10415319
EL,2011,34404.44362936
ES,2011,84348.08403406241
FI,2011,9387.076776927759
FR,2011,99321.60927693539
HR,2011,354.13181552
HU,2011,26442.30517835
IE,2011,9607.656784277759
IT,2011,73955.47879963323
LT,2011,7773.97370079
LU,2011,4174.22530229
LV,2011,4286.06411235
MT,2011,699.88942709
NL,2011,18998.53313343541
PL,2011,71978.12060948776
PT,2011,25295.031744161068
RO,2011,13316.280114090001
SE,2011,13936.476316192211
SI,2011,4566.72111274
SK,2011,9254.80060101
AT,2012,13541.479048683957
BE,2012,28459.177996334034
BG,2012,8312.447621366855
CY,2012,1013.0704431414046
