country,year,eur_million
CY,2013,17765.703764640002
CZ,2013,147975.25088110307
DE,2013,2919765.682288516
DK,2013,265181.96267917927
EE,2013,18500.139565330002
EL,2013,184397.48162359002
ES,2013,1054301.79775289
FI,2013,204933.66639925
FR,2013,2175080.76352603
HR,2013,42981.90738164363
HU,2013,98721.5702377438
IE,2013,150651.80833524
IT,2013,1624743.8485136
LT,2013,34506.024385199205
LU,2013,29096.20206234
LV,2013,23472.65737059474
MT,2013,7354.41969673
NL,2013,652590.73238831
PL,2013,384599.70570071816
PT,2013,169624.67063911
RO,2013,142323.0697025023
SE,2013,456793.80947513314
SI,2013,36361.01469882
SK,2013,73018.07878690999
AT,2014,331944.80415779
BE,2014,409470.55128535
BG,2014,41490.123765090415
CY,2014,16761.319116640003
CZ,2014,146177.4657006777
DE,2014,3010679.4903225214
DK,2014,267674.30179389345
EE,2014,19271.25906131
EL,2014,180453.67912297
ES,2014,1064488.8651142
FI,2014,206007.93220144
FR,2014,2201516.84445311
HR,2014,42245.035314123495
HU,2014,101796.63523364258
IE,2014,161608.50315200002
IT,2014,1631203.83357076
LT,2014,35651.81389439
LU,2014,29737.591566463725
LV,2014,24163.73439345
MT,2014,7715.315552810001
NL,2014,672819.43195991
PL,2014,400440.57247120753
PT,2014,172966.65157421
RO,2014,148026.8387175567
SE,2014,449928.1665978898
SI,2014,37119.37795677
SK,2014,74669.81747570001
AT,2015,338147.79886176006
BE,2015,423031.86172104
BG,2015,43345.501048801794
CY,2015,17721.88979213
CZ,2015,153111.80195420264
DE,2015,3128263.07704308
DK,2015,275854.0267579789
EE,2015,20269.953766410003
EL,2015,178002.62016387001
ES,2015,1091736.40867539
FI,2015,211389.20180875
FR,2015,2248410.7950345003
HR,2015,44033.92546600589
HU,2015,106942.21603615585
IE,2015,184387.29949281
IT,2015,1651975.30921775
LT,2015,36214.29927598306
LU,2015,34710.87848274
LV,2015,24573.37526338
MT,2015,8683.403669419999
NL,2015,688419.05161067
PL,2015,416157.31274013466
PT,2015,177310.24623390002
RO,2015,159083.6546744043
SE,2015,459083.12363274646
SI,2015,38699.265979899996
SK,2015,76887.77755733
AT,2016,350934.61707777
BE,2016,429402.52283677
BG,2016,47484.788152779125
CY,2016,17622.751579090003
CZ,2016,166058.50454126165
DE,2016,3232936.86661718
DK,2016,287007.44800375175
EE,2016,20745.111518309997
EL,2016,178074.78379316
ES,2016,1127633.2843088
FI,2016,218560.80434276
FR,2016,2285233.2612495
HR,2016,44485.376566721396
HU,2016,109865.70078377076
IE,2016,221836.28019077002
IT,2016,1693713.7395106102
LT,2016,37499.219174640006
LU,2016,35539.20991884
LV,2016,25396.38279318
MT,2016,9437.02335018
NL,2016,694593.05859208
PL,2016,413071.0341224697
PT,2016,183046.91614953
RO,2016,166448.2856371348
SE,2016,473523.9292906275
SI,2016,39795.501901840005
SK,2016,80589.25763861
AT,2017,371205.52824546
BE,2017,449375.36423087
BG,2017,50900.094770297044
CY,2017,19020.00719975
CZ,2017,182994.47934112555
DE,2017,3356131.54409679
DK,2017,296770.68856841687
EE,2017,22748.8640601
EL,2017,179604.55578991998
ES,2017,1174626.48065533
FI,2017,228307.90089577
FR,2017,2343691.70209627
HR,2017,47646.04088015516
HU,2017,119285.66292017285
IE,2017,243954.77166216
IT,2017,1741726.89159383
LT,2017,40780.020434059996
LU,2017,37145.15860263001
LV,2017,26931.470909
MT,2017,10560.04347816
NL,2017,737308.14591126
PL,2017,451252.5648182331
PT,2017,190511.37915164
RO,2017,184449.78979457277
SE,2017,488441.94861326524
SI,2017,42732.635699599996
SK,2017,84510.40524418002
AT,2018,388430.57651896
BE,2018,464727.19044175
BG,2018,56122.431793013304
CY,2018,20397.16531643
CZ,2018,198519.20696892487
DE,2018,3496642.78624191
DK,2018,308030.3532827899
EE,2018,25362.7359972
EL,2018,184918.43171397
ES,2018,1221254.05388146
FI,2018,235174.74560417
FR,2018,2431511.1610564
HR,2018,51069.81756257092
HU,2018,128085.41360810357
IE,2018,255975.03743884
IT,2018,1792272.1671224101
LT,2018,43633.838949360004
LU,2018,41723.9726206
LV,2018,29598.05132541
MT,2018,11398.007337070001
NL,2018,791520.60429484
PL,2018,481802.0552497541
PT,2018,198518.27714323
RO,2018,200578.463994655
SE,2018,478861.0361910253
SI,2018,45869.79816784
SK,2018,89370.1491536
AT,2019,400922.23779944
BE,2019,485596.8945441401
BG,2019,61754.398873614526
CY,2019,21389.04720789
CZ,2019,212586.7608311587
DE,2019,3569376.14040481
DK,2019,322235.2209330877
EE,2019,27784.25414537
EL,2019,188258.57692271
ES,2019,1261243.18987933
FI,2019,241851.83049548
FR,2019,2499913.23443265
HR,2019,53641.90335882857
HU,2019,139787.64734320296
IE,2019,270359.37743521004
IT,2019,1821611.0392365102
LT,2019,47448.07720826
LU,2019,43887.179841900004
LV,2019,30617.29346628
MT,2019,12225.01603113
NL,2019,825628.23200056
PL,2019,508597.8391982903
PT,2019,209328.67725267
RO,2019,222798.27350033802
SE,2019,490826.8744589723
SI,2019,47882.61348447
SK,2019,93634.63697888001
AT,2020,378782.74516638083
BE,2020,466025.1003943833
BG,2020,62319.909132973895
CY,2020,20209.708110228818
CZ,2020,203603.98856671096
DE,2020,3462949.5585553
DK,2020,324439.4933575577
EE,2020,27153.411171042768
EL,2020,166947.82132459607
ES,2020,1140528.60715872
FI,2020,242657.92641353
FR,2020,2361200.8924784726
HR,2020,50078.921213916736
HU,2020,135406.69846561528
IE,2020,280391.50825409003
IT,2020,1688419.1766970998
LT,2020,47839.46174031841
LU,2020,43591.69401183012
LV,2020,29739.99621064
MT,2020,11711.26366436
NL,2020,801915.74850398
PL,2020,509317.1912828025
PT,2020,201770.48874802
RO,2020,217841.13153151821
SE,2020,492075.1186956468
SI,2020,45419.47273529184
SK,2020,91018.65956626
AT,2021,404548.9274826182
BE,2021,516394.3661202634
BG,2021,66378.20269767146
CY,2021,22107.426774309082
CZ,2021,231422.45999431927
DE,2021,3710822.53669609
DK,2021,349537.24822610046
EE,2021,30653.723215455175
EL,2021,183036.4486773448
ES,2021,1223996.69399355
FI,2021,259718.47555618
FR,2021,2548640.17901357
HR,2021,57957.559793237175
HU,2021,151149.54762237312
IE,2021,318392.43027169956
IT,2021,1814638.02162662
LT,2021,54270.56727490137
LU,2021,53090.11088846744
LV,2021,33172.715383250004
MT,2021,13533.40130467
NL,2021,861612.45766249
PL,2021,562459.2297311408
PT,2021,211295.9922169
RO,2021,239255.8345186475
SE,2021,551007.3451481331
SI,2021,52440.26384315305
SK,2021,96954.06877654299
AT,2022,448204.3703481294
BE,2022,557729.65713397
BG,2022,82833.68111046495
CY,2022,25205.85089656121
CZ,2022,266905.62942672946
DE,2022,4029808.24587646
DK,2022,392975.2922358488
EE,2022,36136.53021065055
EL,2022,204864.2974181903
ES,2022,1342540.38491192
FI,2022,268640.74317488994
FR,2022,2742732.6216400703
HR,2022,67708.83613106966
HU,2022,166481.20945895422
IE,2022,367069.0649784579
IT,2022,1948256.92492941
LT,2022,64826.75859919
LU,2022,55587.96863633543
LV,2022,38823.892697727875
MT,2022,15553.79152102
NL,2022,909192.3745304856
PL,2022,632345.7441418618
PT,2022,238017.14352495
RO,2022,280523.37577090407
SE,2022,582444.2804189584
SI,2022,58784.66746580267
SK,2022,108734.58863537
AT,2023,477270.71933395753
BE,2023,601346.385260887
BG,2023,90073.05039782263
CY,2023,26903.286609052633
CZ,2023,300471.77220474876
DE,2023,4317119.51946569
DK,2023,385964.9117983721
EE,2023,37148.88945991613
EL,2023,218291.88308481002
ES,2023,1461442.19423773
FI,2023,279392.17630671
FR,2023,2879298.6403461923
HR,2023,77289.69805955248
HU,2023,191395.8534003328
IE,2023,393128.8544573637
IT,2023,2097742.44394608
LT,2023,70218.30954677604
LU,2023,54373.83353321833
LV,2023,40179.156370252225
MT,2023,16919.30681952
NL,2023,1033059.23155936
PL,2023,725626.4399599746
PT,2023,262608.92332202
RO,2023,319271.1734892485
SE,2023,573588.1969283504
SI,2023,62348.50098329823
SK,2023,120603.19200027
